Sch_Depart	Perf_Depart	Enp_Pass	Freight	Mail
285693.0	288803.0	22665665	165668.76	93039.48
73300.0	74048.0	4420425	18041.52	19722.93
114153.0	115524.0	9549585	127815.09	29785.72
120210.0	121798.0	7076954	36242.84	15399.46
64465.0	66389.0	3547040	4494.78	4485.58
322430.0	332338.0	25636383	300463.8	140359.38
266737.0	269665.0	22899267	142660.95	86706.76
39481.0	40196.0	2882836	2216.7	242.87
154067.0	156293.0	11961839	67345.75	38043.73
6828.0	7162.0	362655	258.08	0.0
134929.0	137565.0	9903078	42831.24	32429.74
4241.0	4024.0	35	33858.26	1249.0
92659.0	96780.0	9002217	139496.57	19951.37
104249.0	105330.0	7543899	62425.36	21073.85
61387.0	62582.0	3972327	3787.82	790.44
1188.0	1253.0	18967	199.45	1.46
92196.0	92072.0	7796218	11288.52	13132.33
30444.0	30968.0	1698739	6414.64	1673.24
14443.0	14712.0	692995	7837.98	929.96
213302.0	215740.0	18438056	352823.5	71588.84
37275.0	38137.0	2203700	1163.62	173.94
106858.0	105658.0	9226103	187247.24	33739.59
46584.0	46508.0	3875357	38330.43	7842.12
114872.0	116312.0	8837228	68045.03	42973.8
130286.0	132817.0	9853925	163211.63	34065.82
74659.0	74507.0	9687068	275998.91	70305.53
129670.0	131310.0	10725465	23086.56	35713.98
84924.0	84328.0	7677769	23940.73	12083.04
105830.0	107331.0	6970820	49572.7	42422.69
148342.0	149274.0	10727494	42604.71	23812.85
125276.0	126550.0	7912394	21668.06	24285.06
135089.0	137711.0	9332091	49363.12	37674.06
77368.0	76754.0	5388178	35247.01	18788.6
70156.0	70893.0	5260907	18882.04	8822.78
1286.0	1334.0	49532	7.95	0.0
45986.0	46217.0	2670788	69875.8	3697.09
172007.0	187581.0	13474929	216259.94	55236.27
122226.0	124518.0	7385594	103409.85	34636.56
64396.0	64735.0	4781020	23048.08	17017.79
80651.0	82588.0	4448592	53609.69	25349.58
97043.0	98513.0	7034693	10470.14	27341.35
34138.0	34386.0	2384647	5286.72	6441.62
35891.0	35273.0	1362282	318663.23	62566.64
31494.0	31718.0	2054955	7549.0	3941.16
30554.0	30926.0	1637293	8508.88	3962.18
65533.0	66217.0	3907625	16808.48	14295.54
76988.0	78018.0	3836050	19467.41	10427.55
29986.0	30338.0	1685100	3407.81	11595.43
1735.0	1733.0	0	11311.08	99.03
36966.0	37191.0	1845160	20922.76	6306.52
28333.0	28519.0	1673243	4824.94	1760.09
22210.0	22149.0	1712679	2435.07	1699.9
31850.0	32217.0	2312455	14432.08	14325.94
53471.0	53125.0	2601839	110350.63	9713.05
24585.0	24854.0	1266677	8073.55	5411.32
29624.0	31427.0	2094390	9015.42	1605.24
52781.0	52834.0	3358116	18041.4	17014.09
18704.0	19724.0	1264738	969.51	742.14
94420.0	95198.0	3887208	614223.6	13168.89
39724.0	40661.0	1915390	11747.66	8317.82
57474.0	58060.0	3404243	7453.14	7887.41
49121.0	49606.0	3361062	15439.58	6139.07
26495.0	26824.0	1254846	5371.22	2530.79
25347.0	25550.0	1519518	5316.15	4923.59
40925.0	41200.0	2640734	8488.64	10668.98
69578.0	70763.0	3025345	33735.01	11622.95
66211.0	67304.0	4361369	16302.95	8429.76
21609.0	22010.0	1343619	3361.04	1543.59
25132.0	25585.0	1154747	8092.4	2910.75
39723.0	47086.0	1737096	5991.77	10284.73
39740.0	40020.0	2593896	10049.59	7584.84
49173.0	50096.0	3128393	20971.84	3966.67
29514.0	30065.0	1166598	11243.51	4347.42
20201.0	20413.0	1263509	3709.47	2740.06
24975.0	25217.0	1483037	8241.04	5582.49
