Sch_Depart	Perf_Depart	Enp_Pass	Freight	Mail
133	133	132	127	132
106	106	106	98	110
119	119	123	123	117
121	121	113	110	106
101	102	99	53	77
134	134	134	131	133
132	132	133	125	131
87	88	93	40	13
129	129	129	118	124
15	15	24	5	0
126	126	126	113	118
4	3	1	108	39
113	114	120	124	111
116	116	115	117	112
99	99	104	50	30
0	0	2	3	2
112	112	117	90	101
79	79	78	69	53
51	51	53	78	35
131	131	131	133	130
86	86	85	29	9
118	117	121	128	119
93	92	101	111	88
120	120	119	119	126
125	125	125	126	120
107	107	124	130	129
124	124	127	105	122
111	111	116	106	100
117	118	111	115	125
128	128	128	112	113
123	123	118	103	114
127	127	122	114	123
109	108	110	109	109
105	105	109	99	92
1	1	3	0	0
92	91	92	120	71
130	130	130	129	127
122	122	114	121	121
100	100	108	104	108
110	110	107	116	115
115	115	112	88	116
83	83	87	57	86
84	84	72	132	128
81	81	83	76	73
80	78	75	83	74
102	101	103	96	103
108	109	100	100	96
78	77	77	47	98
2	2	0	91	8
85	85	81	101	84
74	74	76	55	56
66	66	79	42	54
82	82	86	93	104
97	97	89	122	94
68	68	70	79	80
77	80	84	85	47
96	96	96	97	107
58	58	69	26	27
114	113	102	134	102
89	89	82	92	90
98	98	98	75	89
94	94	97	94	83
73	73	67	59	62
72	70	74	58	78
91	90	91	82	97
104	104	94	107	99
103	103	105	95	91
64	65	71	46	43
70	71	65	80	65
88	93	80	66	95
90	87	88	87	87
95	95	95	102	75
76	76	66	89	76
61	61	68	49	64
69	69	73	81	81
75	75	90	45	68
6	6	11	9	34
53	52	56	39	63
22	22	21	37	16
12	12	35	8	29
31	29	33	14	50
29	28	13	13	55
60	60	63	65	79
56	57	43	44	59
18	19	44	48	3
19	21	19	34	38
23	23	20	64	49
50	50	50	38	31
5	5	14	27	11
42	42	45	19	25
48	48	41	70	60
14	13	32	7	22
20	18	39	11	7
46	46	52	35	93
26	26	8	22	20
8	8	12	71	85
25	25	15	28	24
63	63	29	24	36
47	47	49	51	52
67	67	57	86	72
45	45	40	32	58
40	40	36	62	46
41	41	51	54	37
37	37	26	20	17
35	35	22	2	5
16	16	31	16	42
33	32	28	17	57
52	54	60	56	33
39	38	38	67	51
24	24	18	10	40
54	53	59	25	70
65	64	58	84	82
44	44	48	74	18
32	33	34	52	32
10	9	17	73	21
7	7	23	1	4
27	27	47	18	14
36	36	25	61	23
9	11	5	12	15
59	59	62	63	105
30	30	30	23	41
28	31	37	43	44
57	56	64	41	67
62	62	55	60	69
17	17	7	4	19
3	4	4	6	10
38	39	10	21	1
55	55	61	15	6
43	43	42	31	28
21	20	16	68	48
11	10	9	30	45
13	14	6	36	12
71	72	54	77	61
34	34	27	33	26
49	49	46	72	66
