0	1	2	3	4	
28569300	28880300	2266566500	16566876	9303948	
7330000	7404800	442042500	1804152	1972293	
11415300	11552400	954958500	12781509	2978572	
12021000	12179800	707695400	3624284	1539946	
6446500	6638900	354704000	449478	448558	
32243000	33233800	2563638300	30046380	14035938	
26673700	26966500	2289926700	14266095	8670676	
3948100	4019600	288283600	221670	24287	
15406700	15629300	1196183900	6734575	3804373	
682800	716200	36265500	25808	0	
13492900	13756500	990307800	4283124	3242974	
424100	402400	3500	3385826	124900	
9265900	9678000	900221700	13949657	1995137	
10424900	10533000	754389900	6242536	2107385	
6138700	6258200	397232700	378782	79044	
118800	125300	1896700	19945	146	
9219600	9207200	779621800	1128852	1313233	
3044400	3096800	169873900	641464	167324	
1444300	1471200	69299500	783798	92996	
21330200	21574000	1843805600	35282350	7158884	
3727500	3813700	220370000	116362	17394	
10685800	10565800	922610300	18724724	3373959	
4658400	4650800	387535700	3833043	784212	
11487200	11631200	883722800	6804503	4297380	
13028600	13281700	985392500	16321163	3406582	
7465900	7450700	968706800	27599891	7030553	
12967000	13131000	1072546500	2308656	3571398	
8492400	8432800	767776900	2394073	1208304	
10583000	10733100	697082000	4957270	4242269	
14834200	14927400	1072749400	4260471	2381285	
12527600	12655000	791239400	2166806	2428506	
13508900	13771100	933209100	4936312	3767406	
7736800	7675400	538817800	3524701	1878860	
7015600	7089300	526090700	1888204	882278	
128600	133400	4953200	795	0	
4598600	4621700	267078800	6987580	369709	
17200700	18758100	1347492900	21625994	5523627	
12222600	12451800	738559400	10340985	3463656	
6439600	6473500	478102000	2304808	1701779	
8065100	8258800	444859200	5360969	2534958	
9704300	9851300	703469300	1047014	2734135	
3413800	3438600	238464700	528672	644162	
3589100	3527300	136228200	31866323	6256664	
3149400	3171800	205495500	754900	394116	
3055400	3092600	163729300	850888	396218	
6553300	6621700	390762500	1680848	1429554	
7698800	7801800	383605000	1946741	1042755	
2998600	3033800	168510000	340781	1159543	
173500	173300	0	1131108	9903	
3696600	3719100	184516000	2092276	630652	
2833300	2851900	167324300	482494	176009	
2221000	2214900	171267900	243507	169990	
3185000	3221700	231245500	1443208	1432594	
5347100	5312500	260183900	11035063	971305	
2458500	2485400	126667700	807355	541132	
2962400	3142700	209439000	901542	160524	
5278100	5283400	335811600	1804140	1701409	
1870400	1972400	126473800	96951	74214	
9442000	9519800	388720800	61422360	1316889	
3972400	4066100	191539000	1174766	831782	
5747400	5806000	340424300	745314	788741	
4912100	4960600	336106200	1543958	613907	
2649500	2682400	125484600	537122	253079	
2534700	2555000	151951800	531615	492359	
4092500	4120000	264073400	848864	1066898	
6957800	7076300	302534500	3373501	1162295	
6621100	6730400	436136900	1630295	842976	
2160900	2201000	134361900	336104	154359	
2513200	2558500	115474700	809240	291075	
3972300	4708600	173709600	599177	1028473	
3974000	4002000	259389600	1004959	758484	
4917300	5009600	312839300	2097184	396667	
2951400	3006500	116659800	1124351	434742	
2020100	2041300	126350900	370947	274006	
2497500	2521700	148303700	824104	558249	
2936300	2962500	260913800	308987	342448	
560600	580600	23024900	33441	89332	
1500700	1529500	87837200	218493	271269	
774400	780700	34935800	201781	35030	
661600	666800	43529700	32714	78119	
883700	892100	42380800	52669	162513	
874100	886800	23769900	42069	173863	
2011200	2018500	100198300	593763	525540	
1680200	1712100	52509200	300715	194186	
744400	752700	52904200	365657	901	
750700	768900	30648900	168298	114332	
775300	781000	34114200	593753	162380	
1421500	1438000	63195600	217936	86609	
532700	538800	23974600	104656	19731	
1090300	1100100	55150700	63832	67196	
1353100	1367300	51275900	655420	200981	
665100	675600	42349800	29830	63946	
751400	750700	49033600	37778	8918	
1214400	1225600	65861900	170515	904202	
807400	825200	22465800	85710	60100	
615000	616700	23380900	657316	643149	
785100	806200	24200000	111474	66203	
2087900	2099300	39344200	88712	96319	
1308600	1336600	61428000	401083	165033	
2351900	2390600	89453200	980119	384167	
1158000	1173900	50327100	131455	190897	
1053700	1074600	43734100	569289	157988	
1086800	1081700	65119100	452227	113918	
988000	1004300	38166800	73472	45742	
927000	945600	35329400	15142	5468	
700100	720300	42240000	54259	148422	
900100	908200	39101800	54363	181242	
1480000	1552700	97727400	516670	88718	
1022800	1023400	47776800	619236	164497	
781100	791300	29163400	37387	133134	
1515400	1531000	95054000	91825	361692	
2181300	2194400	93764500	872502	561814	
1157500	1169100	61141300	728266	54674	
892600	915800	42556300	404483	87345	
634400	645500	26796300	709174	63201	
583800	586600	36012600	13358	3415	
867500	876200	58090500	55951	30062	
973400	982400	38079800	543891	64660	
628600	655300	22009300	39409	31027	
1995200	1995100	99413200	570122	1439115	
876500	893000	39422200	86482	142955	
871200	895600	47239300	252691	155277	
1689000	1711300	106071900	237295	340281	
2044300	2065200	86438100	540395	350787	
714300	734700	22459500	25783	58741	
395200	403600	21931000	27894	17560	
999900	1026300	22647200	80688	1	
1576500	1599000	98993500	54207	7136	
1108900	1127000	52088100	130661	76892	
765600	763900	25722900	619818	161882	
646600	651400	22643600	116397	155628	
663000	707200	22405000	182600	21282	
2531500	2583700	74732900	782761	228369	
919300	930600	38184000	149252	69940	
1377200	1390100	56143200	690522	292832	
