assists_per_minute	height	time_played	age	points_per_minute
8	11	80	6	91
38	10	91	8	94
5	10	90	4	74
12	7	93	8	89
33	9	88	6	86
56	11	70	9	90
65	8	81	8	79
19	7	86	5	82
87	5	89	7	40
55	12	67	2	66
88	6	74	5	49
28	10	85	7	73
31	5	69	2	85
40	7	78	8	76
81	7	87	6	32
0	8	64	10	84
24	9	75	3	68
90	4	63	7	87
14	8	54	12	93
20	9	79	1	52
67	6	77	10	47
61	7	56	6	56
52	9	61	6	83
39	10	65	1	71
46	8	72	10	78
93	4	92	5	81
29	9	48	12	58
34	6	58	4	39
9	10	46	8	51
70	2	82	8	43
78	5	84	1	63
95	5	73	9	51
18	7	53	6	72
82	5	66	5	69
47	8	59	3	53
83	5	83	10	70
32	9	51	7	92
21	10	43	12	38
36	8	60	6	57
3	9	36	1	41
86	5	76	4	34
13	10	38	8	26
75	8	45	10	17
42	10	40	5	16
79	7	62	5	50
53	6	52	3	33
27	7	37	2	44
66	8	30	5	28
89	5	57	3	65
85	5	64	5	20
49	7	47	9	25
69	1	68	8	48
71	5	50	3	37
7	8	32	4	88
15	8	33	2	67
11	11	27	4	61
2	8	55	9	15
22	9	42	2	14
4	8	24	5	62
94	3	49	6	21
1	9	23	0	80
73	6	31	8	45
37	8	7	9	1
17	9	15	1	23
25	7	39	3	22
41	9	28	9	64
35	6	19	11	3
77	7	34	6	12
72	6	13	14	4
91	0	71	6	9
48	7	35	2	31
10	9	9	12	36
74	6	29	2	77
63	4	25	6	59
43	7	16	11	42
45	7	14	1	6
84	6	41	4	7
51	3	21	6	24
30	3	20	4	55
76	5	8	3	11
50	5	18	4	27
6	8	10	3	54
58	8	19	5	5
54	5	12	13	10
23	6	4	9	60
60	5	6	3	13
64	3	5	8	30
26	9	3	2	29
92	5	44	5	18
68	6	26	5	46
57	1	17	3	75
44	4	1	2	19
80	5	0	2	2
59	5	22	1	8
62	5	2	1	35
16	8	11	10	0
