0	1	2	3	4	
888	2010000	360200	280000	5885	
1399	1980000	393200	300000	8291	
747	1980000	388000	260000	4974	
983	1910000	407100	300000	5772	
1276	1960000	384000	280000	5703	
1671	2010000	341000	310000	5835	
1906	1930000	362000	300000	5276	
1061	1910000	367500	270000	5523	
2446	1850000	384300	290000	4007	
1670	2030000	335400	240000	4770	
2485	1880000	350100	270000	4313	
1227	1980000	366700	290000	4909	
1240	1850000	338800	240000	5668	
1461	1910000	355900	300000	5113	
2315	1910000	380100	280000	3788	
494	1930000	323800	320000	5590	
1107	1960000	352200	250000	4799	
2521	1830000	317300	290000	5735	
1007	1930000	288100	340000	6318	
1067	1960000	356000	230000	4326	
1956	1880000	352800	320000	4280	
1828	1910000	295400	280000	4401	
1627	1960000	313500	280000	5581	
1403	1980000	335000	230000	4866	
1563	1930000	345600	320000	5267	
2681	1830000	395300	270000	5439	
1236	1960000	267000	340000	4419	
1300	1880000	307700	260000	3998	
896	1980000	256700	300000	4325	
2071	1780000	362200	300000	4086	
2244	1850000	365500	230000	4624	
3437	1850000	349100	310000	4325	
1058	1910000	283500	280000	4903	
2326	1850000	335300	270000	4802	
1577	1930000	310700	250000	4345	
2327	1850000	365200	320000	4819	
1256	1960000	278700	290000	6244	
1070	1980000	243100	340000	3991	
1343	1930000	312600	280000	4414	
586	1960000	221800	230000	4013	
2383	1850000	352500	260000	3801	
1006	1980000	228700	300000	3498	
2164	1930000	244900	320000	3185	
1485	1980000	235700	270000	3097	
2270	1910000	317200	270000	4319	
1649	1880000	279000	250000	3799	
1188	1910000	227400	240000	4091	
1940	1930000	206200	270000	3588	
2495	1850000	304600	250000	4727	
2378	1850000	323800	270000	3212	
1592	1910000	257500	310000	3418	
2069	1700000	338400	300000	4285	
2084	1850000	278300	250000	3917	
877	1930000	216700	260000	5769	
1010	1930000	217900	240000	4773	
942	2010000	201700	260000	4512	
550	1930000	290700	310000	3096	
1071	1960000	242800	240000	3089	
728	1930000	192400	270000	4573	
2771	1800000	270700	280000	3214	
528	1960000	189500	220000	5437	
2130	1880000	215900	300000	4121	
1356	1930000	132700	310000	2185	
1043	1960000	163000	230000	3313	
1130	1910000	230100	250000	3302	
1477	1960000	203100	310000	4677	
1317	1880000	174600	330000	2406	
2187	1910000	219500	280000	3007	
2127	1880000	145700	370000	2471	
2547	1600000	345500	280000	2894	
1591	1910000	220000	240000	3682	
898	1960000	133700	340000	3890	
2146	1880000	205100	240000	5120	
1871	1830000	197800	280000	4449	
1528	1910000	163600	330000	4035	
1560	1910000	160300	230000	2683	
2348	1880000	242700	260000	2719	
1623	1800000	184900	280000	3408	
1239	1800000	177600	260000	4393	
2178	1850000	133100	250000	3004	
1608	1850000	174100	260000	3503	
805	1930000	136700	250000	4388	
1776	1930000	174600	270000	2578	
1668	1850000	143800	350000	2989	
1072	1880000	121200	310000	4455	
1821	1850000	126300	250000	3087	
1880	1800000	122400	300000	3678	
1167	1960000	120000	240000	3667	
2617	1850000	244600	270000	3189	
1994	1880000	200600	270000	4187	
1706	1700000	170000	250000	5059	
1554	1830000	115800	240000	3195	
2282	1850000	100800	240000	2381	
1778	1850000	185600	230000	2802	
1863	1850000	118100	230000	3810	
1014	1930000	138100	320000	1593	
