MYCT	MMIN	MMAX	CACH	CHMIN	CHMAX	PRP	ERP 
31	4	12	21	10	29	90	82
4	22	21	11	8	21	98	85
4	22	21	11	8	21	94	85
4	22	21	11	8	21	85	85
4	22	18	11	8	14	76	69
3	22	21	13	8	21	102	91
1	23	21	13	10	21	104	96
1	23	21	13	10	21	110	96
1	23	22	13	10	21	112	100
1	24	22	17	13	26	114	103
51	11	7	0	1	2	30	7
51	8	8	3	1	6	31	8
15	14	15	14	1	8	64	44
10	19	18	14	1	8	80	63
50	0	0	0	1	4	3	0
41	8	18	0	4	21	27	41
37	9	5	5	4	13	11	7
34	8	11	0	7	21	20	13
34	11	5	0	5	14	23	6
26	20	11	19	8	26	74	66
34	13	14	0	5	21	22	19
34	18	13	0	5	16	25	23
34	15	13	0	6	26	46	24
26	18	13	0	6	26	59	29
48	2	12	0	1	10	15	12
48	8	5	3	1	3	53	5
48	4	12	0	1	6	25	12
48	4	7	3	1	3	19	6
48	8	11	3	1	5	60	12
48	4	11	3	1	6	19	11
2	12	6	18	9	17	99	59
2	12	6	18	9	17	105	59
10	16	16	10	9	17	24	47
10	16	16	10	9	17	48	47
12	21	19	10	9	17	68	71
16	21	19	10	9	17	91	70
10	7	5	5	1	4	12	7
10	11	9	5	1	5	21	13
10	14	15	5	1	5	55	28
10	11	9	5	3	5	18	14
10	11	15	5	3	5	28	25
10	14	18	5	3	5	31	47
10	14	18	5	3	6	40	47
10	14	18	5	3	6	45	47
32	11	17	6	3	10	56	36
32	11	15	6	3	10	56	25
56	8	1	5	1	1	10	2
56	11	11	0	1	1	12	12
48	8	15	3	1	5	31	20
41	8	15	5	1	8	47	22
54	6	15	0	1	1	16	18
54	4	5	0	1	1	16	3
33	11	18	8	1	3	80	45
41	11	15	0	1	2	28	20
26	11	9	8	1	2	18	14
26	11	17	8	1	2	45	37
43	11	15	8	1	2	55	26
55	4	15	0	1	4	5	18
55	4	15	0	1	4	7	18
55	4	15	0	1	4	12	18
55	4	15	0	1	4	8	18
55	4	15	0	1	4	14	18
31	8	3	0	8	16	28	3
19	14	15	13	1	22	84	48
19	14	18	13	1	22	84	61
19	14	18	17	1	22	97	75
21	4	3	0	3	9	9	2
25	4	5	0	3	9	18	4
25	11	9	0	3	17	24	12
25	14	9	5	3	15	24	17
19	14	15	5	3	17	47	31
19	17	15	5	3	23	49	36
38	4	5	0	3	17	14	4
47	10	7	0	6	17	28	7
47	10	7	4	6	17	34	9
47	10	17	4	6	17	38	34
47	10	10	0	1	17	35	11
47	6	17	4	1	17	41	33
47	3	2	4	6	17	28	2
39	10	17	4	1	20	62	35
49	11	7	0	2	4	8	7
47	11	9	5	3	26	30	14
47	11	18	5	2	28	30	46
49	11	5	0	1	2	8	4
49	11	9	0	3	6	14	9
33	14	9	0	3	6	21	12
33	14	9	0	4	8	31	13
33	14	9	5	1	16	27	16
33	14	21	11	1	16	78	77
33	14	15	11	1	25	51	38
33	14	21	11	1	25	82	78
33	14	21	11	1	25	89	78
33	14	9	5	1	16	14	16
13	19	18	1	6	10	76	53
13	19	20	13	9	14	95	76
3	23	21	13	10	17	109	95
3	23	21	13	8	17	109	93
3	22	21	0	8	17	100	83
3	22	18	0	8	14	87	61
52	1	1	0	1	1	0	0
42	11	5	0	1	5	16	5
28	8	12	8	1	6	35	19
