1	2	3	4	5	6	7	8	9	10
0	10	19	2	0	1	0	0	0	112
1	3	27	1	0	0	0	0	2	37
0	5	72	0	1	0	1	0	0	105
0	4	11	0	1	0	0	0	0	54
0	16	20	0	0	0	0	0	1	114
0	17	49	2	1	0	0	0	2	88
0	18	28	2	0	0	0	0	2	59
0	10	19	2	0	1	0	0	0	112
0	12	54	2	0	0	0	0	0	125
0	2	41	0	1	0	0	0	0	90
0	9	36	0	0	0	0	0	0	102
0	0	41	0	0	0	0	0	0	121
0	16	42	0	0	0	0	0	1	109
0	9	19	0	0	0	0	0	1	112
1	5	13	0	0	0	0	0	2	17
1	14	27	2	1	1	0	1	0	0
1	6	32	2	0	0	0	1	0	16
0	8	36	0	1	0	0	0	0	77
0	19	52	2	0	0	0	0	3	43
0	9	36	0	0	0	0	0	0	102
1	8	36	0	1	1	0	1	1	22
0	13	31	0	1	0	0	0	0	67
0	23	30	0	0	0	0	0	1	132
1	3	46	1	0	0	1	0	0	41
0	18	28	2	0	0	0	0	2	59
