0	1	2	
963	10	700	
967	10	710	
969	10	740	
970	10	800	
971	10	730	
971	10	750	
971	10	820	
972	10	640	
973	10	690	
974	10	700	
974	10	680	
974	10	720	
974	10	780	
975	10	700	
975	10	750	
976	10	740	
976	10	690	
976	10	730	
977	10	770	
978	10	580	
978	10	730	
978	10	650	
978	10	740	
979	10	760	
979	10	720	
980	10	780	
980	10	710	
980	10	740	
980	10	670	
980	10	640	
980	10	780	
981	10	730	
981	10	670	
982	10	660	
982	10	640	
982	10	710	
982	10	720	
983	10	860	
983	10	720	
984	10	680	
984	10	700	
984	10	820	
984	10	840	
985	10	680	
985	10	710	
986	10	770	
986	10	780	
986	10	830	
986	10	660	
986	10	700	
986	10	820	
987	10	730	
987	10	780	
988	10	780	
988	10	810	
988	10	780	
989	10	800	
990	10	750	
990	10	790	
990	10	810	
991	10	710	
992	10	830	
993	10	630	
994	10	700	
995	10	750	
964	20	690	
967	20	620	
968	20	750	
972	20	660	
972	20	680	
974	20	570	
976	20	610	
977	20	840	
977	20	610	
978	20	770	
978	20	620	
978	20	710	
979	20	680	
979	20	690	
979	20	790	
980	20	760	
980	20	870	
980	20	780	
980	20	730	
980	20	890	
981	20	810	
982	20	730	
982	20	640	
982	20	650	
982	20	730	
982	20	690	
982	20	570	
983	20	790	
983	20	780	
983	20	800	
984	20	790	
984	20	810	
984	20	730	
984	20	740	
984	20	840	
985	20	830	
986	20	820	
986	20	850	
986	20	860	
986	20	770	
987	20	720	
987	20	790	
987	20	590	
987	20	640	
987	20	650	
987	20	820	
988	20	640	
988	20	700	
988	20	830	
988	20	890	
988	20	690	
988	20	730	
988	20	840	
989	20	760	
990	20	790	
990	20	810	
991	20	800	
991	20	740	
992	20	770	
992	20	660	
993	20	680	
994	20	770	
999	20	790	
1000	20	780	
1008	20	770	
