Center of buoyancy	Prismatic coeff	Length-displacement ratio	Beam-draught ratio	Length-beam ratio	Froude number	Residuary resistance
2	5	4	10	5	0	9
2	5	4	10	5	1	20
2	5	4	10	5	2	35
2	5	4	10	5	3	51
2	5	4	10	5	4	67
2	5	4	10	5	5	83
2	5	4	10	5	6	101
2	5	4	10	5	7	121
2	5	4	10	5	8	138
2	5	4	10	5	9	156
2	5	4	10	5	10	176
2	5	4	10	5	11	198
2	5	4	10	5	12	221
2	5	4	10	5	13	242
2	6	4	2	9	0	2
2	6	4	2	9	1	13
2	6	4	2	9	2	27
2	6	4	2	9	3	44
2	6	4	2	9	4	60
2	6	4	2	9	5	78
2	6	4	2	9	6	97
2	6	4	2	9	7	115
2	6	4	2	9	8	135
2	6	4	2	9	9	154
2	6	4	2	9	10	177
2	6	4	2	9	11	204
2	6	4	2	9	12	228
2	6	4	2	9	13	248
2	4	4	16	1	0	7
2	4	4	16	1	1	22
2	4	4	16	1	2	39
2	4	4	16	1	3	54
2	4	4	16	1	4	73
2	4	4	16	1	5	91
2	4	4	16	1	6	111
2	4	4	16	1	7	129
2	4	4	16	1	8	145
2	4	4	16	1	9	166
2	4	4	16	1	10	187
2	4	4	16	1	11	205
2	4	4	16	1	12	222
2	4	4	16	1	13	243
2	3	5	8	8	0	15
2	3	5	8	8	1	25
2	3	5	8	8	2	43
2	3	5	8	8	3	56
2	3	5	8	8	4	75
2	3	5	8	8	5	89
2	3	5	8	8	6	107
2	3	5	8	8	7	124
2	3	5	8	8	8	141
2	3	5	8	8	9	164
2	3	5	8	8	10	186
2	3	5	8	8	11	206
2	3	5	8	8	12	224
2	3	5	8	8	13	244
1	7	1	9	1	0	15
1	7	1	9	1	1	25
1	7	1	9	1	2	43
1	7	1	9	1	3	56
1	7	1	9	1	4	75
1	7	1	9	1	5	89
1	7	1	9	1	6	107
1	7	1	9	1	7	124
1	7	1	9	1	8	141
1	7	1	9	1	9	164
1	7	1	9	1	10	186
1	7	1	9	1	11	206
1	7	1	9	1	12	224
1	7	1	9	1	13	244
1	5	0	1	3	0	10
1	5	0	1	3	1	19
1	5	0	1	3	2	31
1	5	0	1	3	3	45
1	5	0	1	3	4	62
1	5	0	1	3	5	81
1	5	0	1	3	6	98
1	5	0	1	3	7	117
1	5	0	1	3	8	136
1	5	0	1	3	9	153
1	5	0	1	3	10	175
1	5	0	1	3	11	201
1	5	0	1	3	12	225
1	5	0	1	3	13	251
2	2	7	15	5	0	21
2	2	7	15	5	1	32
2	2	7	15	5	2	46
2	2	7	15	5	3	61
