0	1	2	3	4	5	6	
-2300	568	4780	3990	3170	125	110	
-2300	568	4780	3990	3170	150	270	
-2300	568	4780	3990	3170	175	470	
-2300	568	4780	3990	3170	200	780	
-2300	568	4780	3990	3170	225	1180	
-2300	568	4780	3990	3170	250	1820	
-2300	568	4780	3990	3170	275	2610	
-2300	568	4780	3990	3170	300	3760	
-2300	568	4780	3990	3170	325	4990	
-2300	568	4780	3990	3170	350	7160	
-2300	568	4780	3990	3170	375	11930	
-2300	568	4780	3990	3170	400	20110	
-2300	568	4780	3990	3170	425	32750	
-2300	568	4780	3990	3170	450	49490	
-2300	569	4780	3040	3640	125	40	
-2300	569	4780	3040	3640	150	170	
-2300	569	4780	3040	3640	175	370	
-2300	569	4780	3040	3640	200	660	
-2300	569	4780	3040	3640	225	1060	
-2300	569	4780	3040	3640	250	1590	
-2300	569	4780	3040	3640	275	2330	
-2300	569	4780	3040	3640	300	3290	
-2300	569	4780	3040	3640	325	4610	
-2300	569	4780	3040	3640	350	7110	
-2300	569	4780	3040	3640	375	11990	
-2300	569	4780	3040	3640	400	21090	
-2300	569	4780	3040	3640	425	35010	
-2300	569	4780	3040	3640	450	51800	
-2300	565	4780	5350	2760	125	90	
-2300	565	4780	5350	2760	150	290	
-2300	565	4780	5350	2760	175	560	
-2300	565	4780	5350	2760	200	860	
-2300	565	4780	5350	2760	225	1310	
-2300	565	4780	5350	2760	250	1990	
-2300	565	4780	5350	2760	275	2940	
-2300	565	4780	5350	2760	300	4210	
-2300	565	4780	5350	2760	325	5540	
-2300	565	4780	5350	2760	350	8250	
-2300	565	4780	5350	2760	375	13080	
-2300	565	4780	5350	2760	400	21400	
-2300	565	4780	5350	2760	425	33140	
-2300	565	4780	5350	2760	450	50140	
-2300	564	5100	3950	3530	125	200	
-2300	564	5100	3950	3530	150	350	
-2300	564	5100	3950	3530	175	650	
-2300	564	5100	3950	3530	200	930	
-2300	564	5100	3950	3530	225	1370	
-2300	564	5100	3950	3530	250	1970	
