(12, 32) (0, 1) (0, 30) 
(12, 33) (0, 1) (1, 30) 
(12, 33) (0, 1) (0, 30) 
(11, 29) (0, 1) (1, 30) 
(11, 29) (0, 1) (0, 30) 
(11, 30) (0, 1) (2, 30) 
(11, 30) (0, 1) (1, 30) 
(11, 30) (0, 1) (0, 29) 
(11, 30) (0, 1) (0, 30) 
(11, 31) (0, 1) (3, 30) 
(11, 31) (0, 1) (2, 30) 
(11, 31) (0, 1) (1, 29) 
(11, 31) (0, 1) (1, 30) 
(11, 31) (0, 1) (0, 28) 
(11, 31) (0, 1) (0, 29) 
(11, 31) (0, 1) (0, 30) 
(11, 32) (0, 1) (3, 30) 
(11, 32) (0, 1) (2, 29) 
(11, 32) (0, 1) (2, 30) 
(11, 32) (0, 1) (1, 28) 
(11, 32) (0, 1) (1, 29) 
(11, 32) (0, 1) (1, 30) 
(11, 32) (0, 1) (0, 28) 
(11, 32) (0, 1) (0, 29) 
(11, 32) (0, 1) (0, 30) 
(11, 33) (0, 1) (4, 30) 
(11, 33) (0, 1) (3, 29) 
(11, 33) (0, 1) (3, 30) 
(11, 33) (0, 1) (2, 28) 
(11, 33) (0, 1) (2, 29) 
(11, 33) (0, 1) (2, 30) 
(11, 33) (0, 1) (1, 28) 
(11, 33) (0, 1) (1, 29) 
(11, 33) (0, 1) (1, 30) 
(11, 33) (0, 1) (0, 27) 
(11, 33) (0, 1) (0, 28) 
(11, 33) (0, 1) (0, 29) 
(11, 33) (0, 1) (0, 30) 
(10, 28) (0, 1) (1, 30) 
(10, 28) (0, 1) (0, 30) 
(10, 29) (0, 1) (3, 30) 
(10, 29) (0, 1) (2, 30) 
(10, 29) (0, 1) (1, 29) 
(10, 29) (0, 1) (1, 30) 
(10, 29) (0, 1) (0, 28) 
(10, 29) (0, 1) (0, 29) 
(10, 29) (0, 1) (0, 30) 
(10, 30) (0, 1) (3, 30) 
(10, 30) (0, 1) (2, 29) 
(10, 30) (0, 1) (2, 30) 
(10, 30) (0, 1) (1, 28) 
(10, 30) (0, 1) (1, 29) 
(10, 30) (0, 1) (1, 30) 
(10, 30) (0, 1) (0, 28) 
(10, 30) (0, 1) (0, 29) 
(10, 30) (0, 1) (0, 30) 
(10, 31) (0, 1) (4, 30) 
