(14, 15) (0, 1) (11, 30) 
(14, 15) (0, 1) (10, 29) 
(14, 15) (0, 1) (10, 30) 
(14, 15) (0, 1) (9, 21) 
(14, 15) (0, 1) (9, 29) 
(14, 15) (0, 1) (9, 30) 
(14, 15) (0, 1) (6, 20) 
(14, 15) (0, 1) (6, 21) 
(14, 15) (0, 1) (6, 29) 
(14, 15) (0, 1) (6, 30) 
(15, 16) (0, 1) (9, 30) 
(15, 16) (0, 1) (6, 29) 
(15, 16) (0, 1) (6, 30) 
(16, 17) (0, 1) (0, 23) 
(17, 18) (0, 1) (6, 22) 
(17, 18) (0, 1) (6, 28) 
(17, 18) (0, 1) (0, 21) 
(17, 18) (0, 1) (0, 22) 
(17, 18) (0, 1) (0, 28) 
(18, 19) (0, 1) (12, 28) 
(18, 19) (0, 1) (10, 26) 
(18, 19) (0, 1) (10, 28) 
(20, 21) (0, 1) (8, 28) 
(21, 22) (0, 1) (14, 28) 
(21, 22) (0, 1) (12, 27) 
(21, 22) (0, 1) (12, 28) 
(21, 22) (0, 1) (8, 25) 
(21, 22) (0, 1) (8, 27) 
(21, 22) (0, 1) (8, 28) 
(21, 22) (0, 1) (7, 24) 
(21, 22) (0, 1) (7, 25) 
(21, 22) (0, 1) (7, 27) 
(21, 22) (0, 1) (7, 28) 
(21, 22) (0, 1) (6, 24) 
(21, 22) (0, 1) (6, 25) 
(21, 22) (0, 1) (6, 27) 
(21, 22) (0, 1) (6, 28) 
(21, 22) (0, 1) (2, 24) 
(21, 22) (0, 1) (2, 25) 
(21, 22) (0, 1) (2, 27) 
(21, 22) (0, 1) (2, 28) 
(22, 23) (1, 1) (2, 30) 
(22, 23) (0, 1) (12, 30) 
(22, 23) (0, 1) (11, 26) 
(22, 23) (0, 1) (11, 30) 
(22, 23) (0, 1) (7, 25) 
(22, 23) (0, 1) (7, 26) 
(22, 23) (0, 1) (7, 30) 
(22, 23) (0, 1) (6, 23) 
(22, 23) (0, 1) (6, 24) 
(22, 23) (0, 1) (6, 25) 
(22, 23) (0, 1) (6, 26) 
(22, 23) (0, 1) (6, 30) 
(22, 23) (0, 1) (2, 21) 
(22, 23) (0, 1) (2, 23) 
(22, 23) (0, 1) (2, 24) 
(22, 23) (0, 1) (2, 25) 
(22, 23) (0, 1) (2, 26) 
(22, 23) (0, 1) (2, 30) 
(26, 32) (0, 1) (5, 25) 
(26, 33) (0, 1) (8, 25) 
(26, 33) (0, 1) (5, 22) 
(26, 33) (0, 1) (5, 25) 
(25, 28) (0, 1) (5, 25) 
(25, 29) (0, 1) (10, 25) 
(25, 29) (0, 1) (8, 23) 
(25, 29) (0, 1) (8, 25) 
(25, 29) (0, 1) (5, 23) 
(25, 29) (0, 1) (5, 25) 
(25, 30) (0, 1) (12, 25) 
(25, 30) (0, 1) (10, 23) 
(25, 30) (0, 1) (10, 25) 
(25, 30) (0, 1) (8, 23) 
(25, 30) (0, 1) (8, 25) 
(25, 30) (0, 1) (5, 22) 
(25, 30) (0, 1) (5, 23) 
(25, 30) (0, 1) (5, 25) 
(25, 31) (0, 1) (13, 25) 
(25, 31) (0, 1) (12, 23) 
(25, 31) (0, 1) (12, 25) 
(25, 31) (0, 1) (10, 23) 
(25, 31) (0, 1) (10, 25) 
(25, 31) (0, 1) (8, 22) 
(25, 31) (0, 1) (8, 23) 
(25, 31) (0, 1) (8, 25) 
(25, 31) (0, 1) (5, 21) 
(25, 31) (0, 1) (5, 22) 
(25, 31) (0, 1) (5, 23) 
(25, 31) (0, 1) (5, 25) 
(25, 32) (0, 1) (16, 25) 
(25, 32) (0, 1) (13, 23) 
(25, 32) (0, 1) (13, 25) 
(25, 32) (0, 1) (12, 23) 
(25, 32) (0, 1) (12, 25) 
(25, 32) (0, 1) (10, 22) 
(25, 32) (0, 1) (10, 23) 
(25, 32) (0, 1) (10, 25) 
(25, 32) (0, 1) (8, 21) 
(25, 32) (0, 1) (8, 22) 
(25, 32) (0, 1) (8, 23) 
(25, 32) (0, 1) (8, 25) 
(25, 32) (0, 1) (5, 21) 
(25, 32) (0, 1) (5, 22) 
(25, 32) (0, 1) (5, 23) 
(25, 32) (0, 1) (5, 25) 
(25, 33) (0, 1) (17, 25) 
(25, 33) (0, 1) (16, 23) 
(25, 33) (0, 1) (16, 25) 
(25, 33) (0, 1) (13, 23) 
(25, 33) (0, 1) (13, 25) 
(25, 33) (0, 1) (12, 22) 
(25, 33) (0, 1) (12, 23) 
(25, 33) (0, 1) (12, 25) 
(25, 33) (0, 1) (10, 21) 
(25, 33) (0, 1) (10, 22) 
(25, 33) (0, 1) (10, 23) 
(25, 33) (0, 1) (10, 25) 
(25, 33) (0, 1) (8, 21) 
(25, 33) (0, 1) (8, 22) 
(25, 33) (0, 1) (8, 23) 
(25, 33) (0, 1) (8, 25) 
(25, 33) (0, 1) (5, 21) 
